,Name,Users,Rank,Num ratings,Link,Description
0,Ariana Grande New Tab & Themes,5324,4.7,85,https://chrome.google.com/webstore/detail/ariana-grande-new-tab-the/apippijgbhoopklpmdnlegmcbbdihbmd,"Ariana Grande HD Themes And More Extra Functionality Can Be Found Inside Our Ariana Grande ExtensionWe can't get enough of our amazing Ariana Grande themes, hope you do too... 

Get ready to enjoy a vast world of best quality backgrounds and other great features! 
If you love Ariana Grande, this is for you! 

Once you open a new tab, you will be able to enjoy the best and advanced functions we have to offer. This will mean your new tab will look according to our style standard and all relevant functions will be added. Search bar, correct weather and analog clock, are just some of our awesome functions besides top notch high quality Ariana Grande wallpapers. We also added a note bar and a direct pathway to all your preferred desktop games, so you'll never get board! So sit back and enjoy your amazing new tab page! 

Let us know if you need our help - Our awesome support team will love to answer all your inquiries and help out with all thing regarding our extension. 

*Remove* 
If we are not your cup of tea, that's all right. On your chrome settings, you'll fine the product tab. In there, select our product and press the uninstall button. 

We worked real hard so you can enjoy the best software ever, so have fun and tell your friends all about it!"
1,Acura NSX - Supercars HD Wallpaper Theme,367,5.0,6,https://chrome.google.com/webstore/detail/acura-nsx-supercars-hd-wa/hekopgbninfoijpgmdnlmcnjcepfbfif,"Install Acura NSX New Tab theme and get HD wallpapers of Acura NSX cars. Made for fans who love supercars.Install Acura NSX New Tab Theme and explore HD wallpapers of Acura NSX every time you open a new tab.

★ What is included in our Acura NSX theme?

This extension provides a large variety of high definition wallpapers of Acura NSX. You can select a slideshow option and enjoy a nice supercar wallpapers show. You can also shuffle all wallpapers, or only your favorite Acura NSX wallpapers. You can customize the background and add up to 20 pictures of your own if you want. We add new pictures regularly. Plus our Acura NSX extension does not include ads or any hidden catch!

This extension also provides quick access to your most visited sites, web search using your favorite engine, chrome apps like Gmail, or quick reminder with To-Do List right on Acura NSX  theme. Date, time, temperature, weather, and even music can also be shown on Acura NSX New Tab if you need. You can enjoy all these features for free! 

Acura NSX New Tab Theme is your gateway to a beautiful journey, where you can personalize everything to your liking, share with your network and stay on top of things by getting organized and track your to-do list.

Interested in Acura NSX and other supercar themes like Pagani or Lotus? Visit our homepage for more HD wallpapers and new tab themes: https://topspeedmotors.co
"
2,Makeup HD Wallpaper New Tab Theme,1140,3.3,15,https://chrome.google.com/webstore/detail/makeup-hd-wallpaper-new-t/lmiaobgmnjkgcfobglilollbkilhcfgm,"Makeup is a beautiful art. Enjoy inspiring HD wallpaper images of makeup ideas with every new tab.Be inspired for your next outing or event. Get ready to bring out your mascara, lipstick, eyeliner, bronzer, blush, and eye shadow and start creating art. Add beauty and glamour to your browser and enjoy new makeup ideas that can inspire and help you create your next look every time you open a new tab.

Get cool HD images of girls wearing makeup to start your day. Makeup HD Wallpaper New Tab Theme
is your gateway to a beautiful journey, where you can personalize everything to your liking, share with your network and stay on top of things by getting organized and track your to-do list.

Features:

• Customize the dashboard to your taste
• Keep track of your goals with to-do list
• Stunning images with every new tab
• New inspirational photos added regularly
• Search the web using either Yahoo! or Google 
• Feel good with chill out music
• Quick access to most visited web sites
• Show apps and bookmarks on new tab
• Live weather updates of your current location
• Custom background: up to 20 personal images

Visit our homepage for more HD wallpapers and new tab themes: http://girly.life

Also check out our MyStart Blog to have the latest news on our site and articles about various topics such as pets, wild animals, natural wonders of the world, famous landmarks and healthy lifestyle tips: https://blog.mystart.com

KEEP IN TOUCH 
Facebook:
https://www.facebook.com/MyStart
 
Instagram:
https://www.instagram.com/mystartnewtab
 
Pinterest:
https://www.pinterest.ca/mystart0561
"
3,KNB Last Game Wallpapers Theme New Tab,3,0.0,0,https://chrome.google.com/webstore/detail/knb-last-game-wallpapers/bgjfmlhaaikiddffmckobcnjglnbifge,"KNB Last Game Wallpapers for chrome new tabsOur extension KNB Last Game Wallpapers will decorate your browser tabs! Favorite images  as themes on new tabs will delight you throughout the entire time that you spend behind your computer! With the app KNB Last Game Wallpapers, your tabs will look exactly the way you want it! 

The extension will replace the boring theme of your browser on stunning KNB Last Game Wallpapers and changes the default search. You can change it back using your browser settings. We created our  images collection because you really love it! Your new tab deserves to look great and original always.

Having installed our extension you will tart enjoying the magnificent collection of breathtaking high-resolution KNB Last Game wallpapers and other great features.

The extension does not affect the operation of the computer and does not slow it down, it is designed only for fun and for the personal comfort of the user. Enjoy the beauty on your monitor"
4,Spitfire theme,31,4.4,33,https://chrome.google.com/webstore/detail/spitfire-theme/apebkgjponpnhfbkjelfpbbohiioghpj,"My Little Pony: Friendship is Magic Spitfire theme. created by dashie4presidentMy Little Pony  Friendship is Magic Spitfire theme. Created by Dashie4President. Check out my other MLP themes or go to my deviantart to see my other projects and dont forget to follow.
http://dashie4president.deviantart.com/"
5,0,0,0.0,0,0,0
6,Gothic Wallpapers NewTab Theme,0,0.0,0,https://chrome.google.com/webstore/detail/gothic-wallpapers-newtab/cjmajaehnnfekdenjfiacomiclhjojpe,"Get a lot of Gothic Wallpapers for chrome new tabs ThemeOur extension Gothic Wallpapers will completely transform the screen of your monitor! Having installed our extension you will get beautiful colorful backgrounds that you can enjoy during work. The extension will replace the boring theme of your browser on stunning Gothic Wallpapers and modifies the default search. You can configure this parameter in the settings.. Cause, we think that your new tab deserves more! That's why we created our Gothic Wallpapers collection because you love it! Every time you open a new tab in browser, you will be waiting for a new wonderful theme!

Start enjoying the magnificent collection of breathtaking high-resolution photos and other great features. All the pictures collected in our extension have the highest quality.
Having installed the extension Gothic Wallpapers, you can fully customize your browser under yourself, making it unique! The images of a favorite Gothic Wallpapers as themes on new tabs will delight you throughout the entire time that you spend behind your computer!

The extension doesn't degrade the performance of the computer, it is designed only for fun and for the personal comfort of the user.
To enjoy the beauty, you now don't even need to get up of the your computer!"
7,Apple Wallpapers Theme New Tab,8,0.0,0,https://chrome.google.com/webstore/detail/apple-wallpapers-theme-ne/fegfoajopchpjgknoaloaniihefogbdj,"Apple Wallpapers for chrome new tabsOur extension Apple Wallpapers will decorate your browser tabs! Favorite images  as themes on new tabs will delight you throughout the entire time that you spend behind your computer! With the app Apple  Wallpapers, your tabs will look exactly the way you want it! 

The extension will replace the boring theme of your browser on stunning Apple Wallpapers and changes the default search. You can change it back using your browser settings. We created our  images collection because you really love it! Your new tab deserves to look great and original always.

Having installed our extension you will tart enjoying the magnificent collection of breathtaking high-resolution Apple wallpapers and other great features.

The extension does not affect the operation of the computer and does not slow it down, it is designed only for fun and for the personal comfort of the user. Enjoy the beauty on your monitor"
8,New Dark Material Design 2 Theme [2018],639,3.5,22,https://chrome.google.com/webstore/detail/new-dark-material-design/lecmekaoelemmceollekpaebiekfbkhk,Dark Material Design Theme to match your Dark UI preference!Like the new Material Design 2 in Google Chrome? Like the dark elements of Windows 10 and upcoming macOS Mojave? Now you can have a dark theme for Chrome to match the dark UI of your choice!
9,Marvels Venom Theme,1689,3.4,10,https://chrome.google.com/webstore/detail/marvels-venom-theme/bamlpfclflmlohggmhanbhjhjkglolne,"A stunning Dark Venom Theme for Chrome Version 2One of Marvel's most enigmatic, complex and badass character for your browser..."
10,B.R.S Theme 07 - 1600x900,14,4.4,17,https://chrome.google.com/webstore/detail/brs-theme-07-1600x900/inkmldfladhglkhffigmnpbbcgpblnag,"This is the theme B.R.S 07 from the anime Black Rock Shooter
Optimized For Google Chrome

This theme has been made for screens…This is the theme B.R.S 07 from the anime Black Rock Shooter
Optimized For Google Chrome

This theme has been made for screens using 1600x900.
the theme will not be fully displayed on screens smaller than the size above.

To keep up with new themes or to request a theme please go to my page and have a look around as the theme you my be looking for may have been made.

""http://momentiytakato.wix.com/gcat""

Facebook Page
""https://www.facebook.com/pages/The-Grate-Anime-Page/140839089427518?ref=hl""

PLEASE NOTE ... 
I am only doing anime themes not another type of theme/s, I am
also sorry about this but if you want your own personal non anime theme you will have to make it and publish it your self. Thanks T.K

Websites-

http://momentiytakato.wix.com/gcat"
11,My Custom Theme,3262,2.7,35,https://chrome.google.com/webstore/detail/my-custom-theme/gephfjcifjnbcekjcafhdadafegadoao,Tema de baseball chromebookTema de baseball chromebook
12,Persian Theme - Kerman,15,4.7,3,https://chrome.google.com/webstore/detail/persian-theme-kerman/egmcehcknaoncfgndghlbcbpdcgmjcca,"Theme based on actual photos of the Ganjalikhan Bath in Kerman, Iran.

More Persian Themes:…Theme based on actual photos of the Ganjalikhan Bath in Kerman, Iran.

More Persian Themes:

https://chrome.google.com/webstore/detail/persian-theme-nasir-ol-mo/mgfaomkbijcgjcpcmmchkaglaimdboed
https://chrome.google.com/webstore/detail/persian-theme-sheikh-safi/bjocfiifeldcdoffbnnghpojbhebfkoj
https://chrome.google.com/webstore/detail/persian-theme/fkfpahkpiciejoinndpmonopohehncbj
https://chrome.google.com/webstore/detail/persian-theme-yazd/mjkdpipjdgpknocmgimannknhhlpmeca
https://chrome.google.com/webstore/detail/persian-theme-soltanieh/kdcbgechkigbljpphlabnmbhcpkjkcjk
https://chrome.google.com/webstore/detail/persian-theme-bazar/bhlcnjnpafghmnoohokhbbckooickalp
"
13,Nike Themes New Tab,35152,4.4,1439,https://chrome.google.com/webstore/detail/nike-themes-new-tab/nignjcnhajjmkmhdhiklnfcbcijgedmf,"Nike new tab themess biggest collection.Nike wallpapers collection for your chrome new tab. After getting this extension you will enjoy a brand new Nike theme everytime you open a new tab in your chrome.

Features:
- Select your favorite wallpaper from many available ultra hd wallpapers, or Shuffle (randomized background images).
- Check Date & Time instantly with a digital clock in Chrome NewTab.
- Weather indicator, current weather status is displayed directly in Chrome NewTab.
- Works with all chrome versions up to 1080p/4k/HD and on widescreen/Dual Monitor (Chrome OS, Windows, Mac).

★★ Important! Please read: ★★
How to uninstall: Go to toolbar, type chrome://extensions, scroll down and uninstall it.
"
14,Art WorldArtThemes.com,0,0.0,0,https://chrome.google.com/webstore/detail/art-worldartthemescom/mafoeleplcggdjpkdieeklkhkehahlcg,WorldArtThemes.comWorldArtThemes.com
